environ_var_code,woreda_name,WID,week_epidemiar,ref_value,ref_sd,ref_n,ref_max,ref_uq,ref_median,ref_lq,ref_min,old_environ_var_code
tmpac,Abargelie,121,10,1.04598853412412,1.78437686905971,15,6.53030870320854,1.58799357582627,0.100498000293084,0,0,tmpac
totprec,Abargelie,121,10,1.04598853412412,1.78437686905971,15,6.53030870320854,1.58799357582627,0.100498000293084,0,0,pmmc
lst_day,Abargelie,121,10,40.8640274842657,1.42430874237678,15,43.70989853688,41.9022915801187,40.7522531488817,39.6011477985097,38.635332554814,lstd
lst_mean,Abargelie,121,10,31.4669702794747,0.955324440442561,15,33.2899662155444,32.2531350823092,31.202840233525,30.7412597414644,30.3267587266081,lstm
lst_night,Abargelie,121,10,22.0698305547056,0.882909742170166,15,23.6568320262526,22.7684047254392,21.9747254176884,21.5353438462293,20.6358817854371,lstn
ndvi,Abargelie,121,10,0.192151720246627,0.00945978907416514,15,0.215919016763691,0.196664259036121,0.190820248939143,0.186415359046341,0.178107855055657,ndvi
savi,Abargelie,121,10,0.131573342131728,0.00618108156045475,15,0.146564022919127,0.136089041737238,0.12865907297076,0.127533582993282,0.124003097354251,savi
evi,Abargelie,121,10,0.115563089178337,0.00576494817281429,15,0.129451822856755,0.11968609727372,0.112948433264605,0.111697003160426,0.108430538031348,evi
ndwi5,Abargelie,121,10,-0.0942344713649163,0.00522481571329693,15,-0.0873353872237626,-0.0898931853384064,-0.092436529484644,-0.0982657850996429,-0.104861068542375,ndwi5
ndwi6,Abargelie,121,10,-0.0920505340070943,0.00909427174251911,15,-0.0780694400542381,-0.084733626341252,-0.0917865068309435,-0.0956116113025012,-0.110406978853534,ndwi6
tmpart,Abargelie,121,11,6.10944254264478,8.67623684717799,15,29.916772124393,6.67047574599881,4.74479133123809,0.265384157255614,0.00153068913123936,tmpart
tmpac,Abargelie,121,11,6.89832622435272,13.6796605310817,15,40.3924288985752,4.83359313588318,0.0993992776874431,0,0,tmpac
totprec,Abargelie,121,11,6.89832622435272,13.6796605310817,15,40.3924288985752,4.83359313588318,0.0993992776874431,0,0,pmmc
lst_day,Abargelie,121,11,41.2464650200858,1.78530379099704,15,45.0903608027547,42.1079105317653,41.0843968203264,40.5648123122212,37.093573873448896,lstd
lst_mean,Abargelie,121,11,31.5830623908037,1.31809272102706,15,33.6124069532117,32.2614735261429,31.8713423860575,31.0177927104761,28.6608399043895,lstm
lst_night,Abargelie,121,11,21.9895614105591,1.13016022149214,15,23.2535851305475,22.6239566321073,22.3759027314582,21.7862562384718,18.9378133213933,lstn
ndvi,Abargelie,121,11,0.190690219471264,0.00873380399425384,15,0.213455669656074,0.193698978039998,0.190570286611512,0.186890628135269,0.178133336383004,ndvi
savi,Abargelie,121,11,0.131371694008478,0.00551535180880995,15,0.145547755435632,0.134273634800842,0.130606708762405,0.127280036846268,0.124869554215181,savi
evi,Abargelie,121,11,0.115347927965402,0.00516036627281243,15,0.128565074408729,0.118204762693463,0.114717073098606,0.111369300839611,0.109203050230846,evi
ndwi5,Abargelie,121,11,-0.0936541585684708,0.00559315377379282,15,-0.0863861642986435,-0.0898192658181947,-0.0915369786844644,-0.0974249427301698,-0.106441427493578,ndwi5
ndwi6,Abargelie,121,11,-0.0933141891868417,0.00845079402355716,15,-0.0785488815042648,-0.0879836045153543,-0.0925526897215784,-0.0971747135943844,-0.11168868427974,ndwi6
tmpart,Abargelie,121,12,7.69702079652942,7.82690167038484,15,22.9502214311951,15.2423902204418,5.11063491678565,0.496218831515709,0.205289644782895,tmpart
tmpac,Abargelie,121,12,0.793074841519456,1.89144318287801,15,6.5918312942298,0.277355629129584,0,0,0,tmpac
totprec,Abargelie,121,12,0.793074841519456,1.89144318287801,15,6.5918312942298,0.277355629129584,0,0,0,pmmc
lst_day,Abargelie,121,12,41.8757609876028,1.36668828274969,15,44.3981526866784,42.9860592149541,42.2379691006769,40.6316328204349,39.5542293379015,lstd
