wid,woreda,doy,year,ndvi,savi,evi,ndwi5,ndwi6
134,Artuma Fursi,126.0,2012.0,0.42318677609296107,0.2679119083463738,0.26055908822050416,-0.027026929879539138,0.06184350532764082
131,Dewa Chefa,126.0,2012.0,0.47937376261813913,0.3126230771661577,0.30927744350374226,-0.01739495501198959,0.10546726811612608
135,Dewa Harewa,126.0,2012.0,0.3816440083250769,0.24507160933932276,0.23526791194210506,-0.031360892432534586,0.050069099803124205
132,Bati,126.0,2012.0,0.2989491612185609,0.19537499021406354,0.18708277542041735,-0.015911708529382368,0.048572524886672956
138,Aregoba Sp. Wo.,126.0,2012.0,0.36954900216434194,0.25086748300636147,0.2430845536710508,-0.031221595032637908,0.04470230642627793
49,Kalu,126.0,2012.0,0.446772344313048,0.2844762440926977,0.27844012681413416,0.0041826595454889865,0.13130229125369064
48,Worebabu,126.0,2012.0,0.3700062323177543,0.24238198623306495,0.23666695983709685,-0.008901547289618998,0.08218163411507415
121,Abargelie,126.0,2012.0,0.18080248635404012,0.12860919428259843,0.11284567124622155,-0.0879375059236467,-0.08948307475562237
33,Raya Kobo,126.0,2012.0,0.3685168247829076,0.23052827736404527,0.22331086090046515,-0.0084755330095005,0.07726496903469118
39,Habru,126.0,2012.0,0.4324683453211316,0.2698390346917074,0.2630013862668104,0.0024249116306529687,0.1128232289500579
38,Guba Lafto,126.0,2012.0,0.4091667217916289,0.2513204258938454,0.24294115856491272,-0.026539758820804994,0.06484793654731381
34,Gidan,126.0,2012.0,0.3327653824268339,0.19557173679152212,0.18574009060280866,-0.040946297009296743,0.020204405860947964
40,Woldia Town,126.0,2012.0,0.46972461798996434,0.276215081759477,0.2662953193202263,-0.003096015168719924,0.12852713729318807
46,Ambassel,126.0,2012.0,0.3956304817759011,0.236824244504916,0.22650755318370228,-0.010302543021467341,0.08534894718265562
37,Delanta,126.0,2012.0,0.29499864104017065,0.18065075920691187,0.17085207315024525,-0.05597267231615998,-0.010716560030663947
140,Kobo Town,126.0,2012.0,0.25296390748849945,0.14453765953339365,0.13479614015900698,-0.0260830052823555,0.016905618034631774
41,Lasta,126.0,2012.0,0.23891742061608093,0.1397577677048945,0.1293426366880275,-0.04688579677598722,-0.005942661696553626
120,Gazgibla,126.0,2012.0,0.2575303468191541,0.15087926324209097,0.13925754776866525,-0.051767770594607763,-0.011559267960269582
35,Mekit,126.0,2012.0,0.22454612865944187,0.1431804775784576,0.1307739497141669,-0.06283066780537422,-0.032722143499145595
36,Wadla,126.0,2012.0,0.2989447231371844,0.19110234682564348,0.17672196663118242,-0.061262794199120424,-0.01735839323347597
32,Bugna,126.0,2012.0,0.20716820532630476,0.12721030952149176,0.11382862715544381,-0.07687374491080229,-0.05992643057566088
119,Dehena,126.0,2012.0,0.20734550450769632,0.12802348001130925,0.11428985128161696,-0.07113587407787506,-0.05182736832941958
117,Zequala,126.0,2012.0,0.15476590463579643,0.0980500000210933,0.08753624944602832,-0.04898685422635272,-0.04236301489271097
118,Seqota,126.0,2012.0,0.22233421988510785,0.144192440672549,0.12935886106902986,-0.06054244897340981,-0.03471265313671212
123,Sekota Town,126.0,2012.0,0.20626184272347267,0.13190562704762196,0.11805201258903689,-0.05116620905666469,-0.02404261678409295
122,Sehela,126.0,2012.0,0.1464288552259054,0.08874197343418364,0.08031448615045393,-0.027085207222855876,-0.022816977127375626
1,Beyeda,126.0,2012.0,0.23712346607183585,0.1434085107742265,0.13065062710931702,-0.06972158274185748,-0.04365846602237609
2,Janamora,126.0,2012.0,0.19797247150425043,0.12232606446535017,0.10976019137743999,-0.06396352309296197,-0.04334527582255912
16,Misrak Belesa,126.0,2012.0,0.1726314191208613,0.10645257936655535,0.09515734185405852,-0.05867295435914315,-0.05072510897929166
21,Ebinat,126.0,2012.0,0.19034153789520827,0.11638470770408907,0.10364372832460961,-0.06235175110686968,-0.03967938933526179
8,Wogera,126.0,2012.0,0.19291830116417594,0.1239270840320314,0.11134829093288964,-0.0719246129961278,-0.05377505670505141
15,Mirab Belesa,126.0,2012.0,0.1805720650646843,0.10948412759719785,0.09869879953416942,-0.046814463991693284,-0.016333624974897522
3,Debark,126.0,2012.0,0.2340892025914283,0.1575071971811053,0.14004075091607032,-0.08701844004359297,-0.06032304406898913
4,Dabat,126.0,2012.0,0.2254953582918859,0.14857166490604906,0.13323969410492847,-0.08905465599550112,-0.06850704772326881
19,Tach Armachiho,126.0,2012.0,0.24936045417362607,0.1673775405865276,0.14852328185633953,-0.10795675899456034,-0.08775056809685357
6,Tegede,126.0,2012.0,0.2374963417693606,0.15829985498414045,0.14047855973101844,-0.10513955415662836,-0.0866762082142607
7,Lay Armachiho,126.0,2012.0,0.2636866232231212,0.18047208155646252,0.16157001038935553,-0.08541778095665917,-0.047707139409417364
17,Gondar Town,126.0,2012.0,0.20412167947756135,0.12323774489560996,0.11032643534676671,-0.07416930785583122,-0.04878010832184424
9,Gondar Zuria,126.0,2012.0,0.21241469675523725,0.12975787509999603,0.11656023345313303,-0.06273368939530866,-0.01965391553409648
22,Libokemkem,126.0,2012.0,0.2155756653383202,0.1365385759971571,0.12348043322556822,-0.06394408627735299,-0.023738640141221647
10,Denbia,126.0,2012.0,0.20694092280739262,0.11478558792058569,0.10323979838996779,-0.0864371369659198,-0.06144031827385401
23,Fogera,126.0,2012.0,0.22044931623126673,0.138986404563162,0.12534082081202894,-0.07166140070993503,-0.0329555412863768
24,Farta,126.0,2012.0,0.24144320248339599,0.15364763182583704,0.1394858301445833,-0.07366220707805211,-0.03549107831564233
25,Lay Gayint,126.0,2012.0,0.21667702721231233,0.1351096382941743,0.12333436830449739,-0.07263146382844878,-0.04927989340543595
26,Tach Gayint,126.0,2012.0,0.1864128095167923,0.11245900685555142,0.10101941569715736,-0.04355877937733976,-0.015153671530431803
27,Simada,126.0,2012.0,0.18652911489271054,0.11005828187478264,0.10016324532303575,-0.041349049502370394,-0.01103200676240391
43,Mekedela,126.0,2012.0,0.24778091731718507,0.14815686583187576,0.13616813612618614,-0.04577870714780272,-0.005353275362104265
53,Sayint,126.0,2012.0,0.2396991304858284,0.14167624221560599,0.12947522267963268,-0.050585674948595186,-0.015106221472734715
28,Estea,126.0,2012.0,0.22124160177579608,0.13363179124334787,0.11982971026603924,-0.06758615270719572,-0.03856979251291344
31,Andabiet,126.0,2012.0,0.18971801446729206,0.10852549964355684,0.09542913792465878,-0.06423149613097254,-0.03858061600334959
30,Debre Tabor Town,126.0,2012.0,0.2741879245338369,0.17548746752830024,0.15866558197141925,-0.08126872924414637,-0.027330836901294668
29,Dera,126.0,2012.0,0.1980540094405736,0.12332224637604321,0.10764060092320243,-0.06392953384232206,-0.02396365763359275
104,Bahir Dar Zuria,126.0,2012.0,0.24190562910732863,0.1530991269783699,0.13674211272761067,-0.09104792582502527,-0.05513700029978631
137,Bahir Dar Town,126.0,2012.0,0.2214220487246019,0.14477897934557105,0.12934622817271377,-0.08641503656332042,-0.05249515070263284
105,Yilmana Densa,126.0,2012.0,0.217090743643804,0.1290785111817294,0.11424510389812956,-0.0792146263321413,-0.04305056850426121
87,Hulet Iju Enesie,126.0,2012.0,0.23291864912729632,0.14387308304755664,0.12822609840242363,-0.07514330174298736,-0.046280232838566464
114,Gonji Kolela,126.0,2012.0,0.19501504556383908,0.11348586128097671,0.10026194647529453,-0.06222095337873016,-0.03004309695968259
109,Dega Damot,126.0,2012.0,0.2624309366375211,0.16020014262682022,0.1428812871321205,-0.07799883265310635,-0.03536926522382641
106,Mecha,126.0,2012.0,0.25334945598749187,0.16698576230202786,0.1475549093989398,-0.09981210164928402,-0.0635971390402076
108,Quarit,126.0,2012.0,0.2568677414591355,0.15513620587858648,0.13979671102833538,-0.0905739651376072,-0.05914093981190469
107,Sekela,126.0,2012.0,0.26283746273405373,0.17231531725684388,0.1531832330539347,-0.1038734140167572,-0.0717189536500518
111,Jabi Tehnan,126.0,2012.0,0.26225342323489004,0.15175893772518861,0.13532367896378708,-0.11824739837589122,-0.10157992205384454
86,Bibugn,126.0,2012.0,0.25116995497013295,0.15270058761819844,0.1351409520270735,-0.06805763076097754,-0.020713688049894406
90,Enarji Enawuga,126.0,2012.0,0.2403766347038104,0.1363474044844188,0.1226027400308881,-0.06390684689355795,-0.035313665191232316
