wid,woreda,doy,year,totprec
18,Telemt,360.0,2018.0,0.0
74,Kewet,361.0,2018.0,0.08268259460704853
133,Jilie Timuga,361.0,2018.0,0.0
70,Efratana Gidim,361.0,2018.0,0.26842165154012104
134,Artuma Fursi,361.0,2018.0,0.0
131,Dewa Chefa,361.0,2018.0,0.0
135,Dewa Harewa,361.0,2018.0,0.0
132,Bati,361.0,2018.0,0.023000044681525944
138,Aregoba Sp. Wo.,361.0,2018.0,0.0
49,Kalu,361.0,2018.0,0.16196446760754007
48,Worebabu,361.0,2018.0,0.005517528203114986
121,Abargelie,361.0,2018.0,0.0
33,Raya Kobo,361.0,2018.0,0.0
39,Habru,361.0,2018.0,0.0
38,Guba Lafto,361.0,2018.0,0.06805773916097321
34,Gidan,361.0,2018.0,0.01097072278907922
40,Woldia Town,361.0,2018.0,0.0
46,Ambassel,361.0,2018.0,0.0
37,Delanta,361.0,2018.0,0.028075626847546786
140,Kobo Town,361.0,2018.0,0.0
41,Lasta,361.0,2018.0,0.0
120,Gazgibla,361.0,2018.0,0.0
35,Mekit,361.0,2018.0,0.0
36,Wadla,361.0,2018.0,0.0
32,Bugna,361.0,2018.0,0.0
119,Dehena,361.0,2018.0,0.0
117,Zequala,361.0,2018.0,0.0
118,Seqota,361.0,2018.0,0.0
123,Sekota Town,361.0,2018.0,0.0
122,Sehela,361.0,2018.0,0.0028966212017801896
1,Beyeda,361.0,2018.0,0.13935566059835608
2,Janamora,361.0,2018.0,0.02689138709667126
16,Misrak Belesa,361.0,2018.0,0.0
21,Ebinat,361.0,2018.0,0.0
8,Wogera,361.0,2018.0,0.0
15,Mirab Belesa,361.0,2018.0,0.0
3,Debark,361.0,2018.0,0.0
4,Dabat,361.0,2018.0,0.0
19,Tach Armachiho,361.0,2018.0,0.0
6,Tegede,361.0,2018.0,0.0022483700870413624
7,Lay Armachiho,361.0,2018.0,0.0
17,Gondar Town,361.0,2018.0,0.0
9,Gondar Zuria,361.0,2018.0,0.0
22,Libokemkem,361.0,2018.0,0.0
10,Denbia,361.0,2018.0,0.0
23,Fogera,361.0,2018.0,0.0
24,Farta,361.0,2018.0,0.0
25,Lay Gayint,361.0,2018.0,0.0
26,Tach Gayint,361.0,2018.0,0.0
27,Simada,361.0,2018.0,0.0
43,Mekedela,361.0,2018.0,0.0
53,Sayint,361.0,2018.0,0.0
28,Estea,361.0,2018.0,0.0
31,Andabiet,361.0,2018.0,0.0
30,Debre Tabor Town,361.0,2018.0,0.0
29,Dera,361.0,2018.0,0.0
104,Bahir Dar Zuria,361.0,2018.0,0.0
137,Bahir Dar Town,361.0,2018.0,0.0
105,Yilmana Densa,361.0,2018.0,0.0
87,Hulet Iju Enesie,361.0,2018.0,0.0
114,Gonji Kolela,361.0,2018.0,0.0
109,Dega Damot,361.0,2018.0,0.0
106,Mecha,361.0,2018.0,0.0
